Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Net Income,UNCRY,"9,510,000","6,458,000","2,096,000","-2,785,000"
Net Income Including Non-Controlling Interests,UNCRY,"9,537,000","6,473,000","2,126,000","-2,778,000"
Net Income Continuous Operations,UNCRY,"9,537,000","6,470,000","2,122,000","-2,827,000"
Net Income Discontinuous Operations,UNCRY,0,"3,000","4,000","49,000"
Minority Interests,UNCRY,"-27,000","-15,000","-30,000","-7,000"
Diluted NI Available to Com Stockholders,UNCRY,"9,507,000","6,458,000","2,066,000","-2,907,000"
Basic EPS,UNCRY,2.35,1.67,0.47,-0.65
Diluted EPS,UNCRY,2.35,1.67,0.46,-0.65
Basic Average Shares,UNCRY,"4,036,943","3,870,539","4,443,399","4,453,337"
Diluted Average Shares,UNCRY,"4,036,943","3,870,539","4,472,058","4,479,060"
Net Income from Continuing & Discontinued Operation,UNCRY,"9,510,000","6,458,000","2,096,000","-2,785,000"
Normalized Income,UNCRY,"10,392,824","6,742,595","3,414,400","-371,760"
Reconciled Depreciation,UNCRY,"1,078,000","1,149,000","1,471,000","1,431,000"
Net Income from Continuing Operation Net Minority Interest,UNCRY,"9,510,000","6,455,000","2,092,000","-2,834,000"
Total Unusual Items Excluding Goodwill,UNCRY,"-1,060,000","-324,000","-1,740,000","-2,074,000"
Total Unusual Items,UNCRY,"-1,060,000","-324,000","-1,740,000","-2,074,000"
Tax Rate for Calcs,UNCRY,0,0,0,0
Tax Effect of Unusual Items,UNCRY,"-177,176","-36,405","-417,600","-497,760"
Total Revenue,ITUB,-,"145,270,000","127,596,000","100,025,000"
Net Interest Income,ITUB,-,"51,758,000","59,948,000","40,811,000"
Interest Income,ITUB,-,"190,273,000","129,253,000","114,369,000"
Interest Income from Loans And Lease,ITUB,-,-,"92,789,000","79,503,000"
Interest Income from Loans,ITUB,-,-,"92,789,000","79,503,000"
Interest Income from Securities,ITUB,-,-,"21,836,000","36,299,000"
Interest Income from Deposits,ITUB,-,-,"4,816,000","3,344,000"
Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,ITUB,-,-,"9,812,000","9,832,000"
Interest Expense,ITUB,-,"138,515,000","69,305,000","73,558,000"
Interest Expense for Deposit,ITUB,-,-,"20,492,000","17,478,000"
Interest Expense for Long Term Debt And Capital Securities,ITUB,-,-,"34,794,000","37,278,000"
Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,ITUB,-,-,"8,635,000","10,690,000"
Other Interest Expense,ITUB,-,-,"5,384,000","8,112,000"
Non Interest Income,ITUB,-,"93,512,000","67,648,000","59,214,000"
Total Premiums Earned,ITUB,-,"5,938,000","5,354,000","4,488,000"
Fees And Commissions,ITUB,-,"46,378,000","42,324,000","38,557,000"
Fees & Commission Income,ITUB,-,"46,378,000","42,324,000","38,557,000"
Service Charge on Depositor Accounts,ITUB,-,-,"12,939,000","12,770,000"
Trust Fees by Commissions,ITUB,-,-,"7,177,000","6,951,000"
Securities Activities,ITUB,-,-,"3,579,000","2,891,000"
Credit Card,ITUB,-,-,"16,051,000","13,813,000"
Other Customer Services,ITUB,-,-,"2,578,000","2,132,000"
Fees & Commission Expense,ITUB,-,-,"5,644,000","5,576,000"
Foreign Exchange Trading Gains,ITUB,-,"1,280,000","-1,417,000","2,689,000"
Gain Losson Saleof Assets,ITUB,-,"34,586,000","17,900,000","6,379,000"
Gain on Sale of Security,ITUB,-,"34,586,000","17,900,000","6,379,000"
Gain on Saleof Investment Property,ITUB,-,-,"-119,000","-683,000"
Other Non Interest Income,ITUB,-,"5,330,000","3,487,000","7,101,000"
Credit Losses Provision,ITUB,-,"-28,150,000","-14,001,000","-24,452,000"
Non Interest Expense,ITUB,-,"80,259,000","72,528,000","71,742,000"
Selling General and Administrative,ITUB,-,"70,714,000","64,149,000","65,561,000"
General & Administrative Expense,ITUB,-,"70,714,000","64,149,000","65,561,000"
Salaries and Wages,ITUB,-,-,"28,245,000","25,158,000"
Insurance & Claims,ITUB,-,"1,550,000","1,600,000","1,354,000"
Other G and A,ITUB,-,"69,164,000","62,549,000","64,207,000"
Selling & Marketing Expense,ITUB,-,-,"1,389,000","1,095,000"
Depreciation Amortization Depletion,ITUB,-,-,"5,548,000","5,064,000"
Depreciation & amortization,ITUB,-,-,"5,548,000","5,064,000"
Other Non Interest Expense,ITUB,-,"9,545,000","8,379,000","6,181,000"
Income from Associates & Other Participating Interests,ITUB,-,"672,000","1,164,000","1,399,000"
Special Income Charges,ITUB,-,-,"-1,481,000","-7,281,000"
Impairment of Capital Assets,ITUB,-,-,"440,000","6,201,000"
Other Special Charges,ITUB,-,-,"1,041,000","1,080,000"
Other Non Operating Income Expenses,ITUB,-,-,-,"-3,487,000"
Pretax Income,ITUB,-,"37,533,000","42,231,000","5,230,000"
Tax Provision,ITUB,-,"6,796,000","13,847,000","-9,834,000"
Net Income Common Stockholders,ITUB,-,"29,702,000","26,760,000","18,896,000"
Net Income,ITUB,-,"29,702,000","26,760,000","18,896,000"
Net Income Including Non-Controlling Interests,ITUB,-,"30,737,000","28,384,000","15,064,000"
Net Income Continuous Operations,ITUB,-,"30,737,000","28,384,000","15,064,000"
Minority Interests,ITUB,-,"-1,035,000","-1,624,000","3,832,000"
Diluted NI Available to Com Stockholders,ITUB,-,"29,702,000","26,760,000","18,896,000"
Basic EPS,ITUB,3.38,3.03,2.74,1.94
Diluted EPS,ITUB,3.36,3.01,2.72,1.93
Basic Average Shares,ITUB,"9,799,174","9,798,994","9,777,032","9,759,615"
Diluted Average Shares,ITUB,"9,866,574","9,858,760","9,831,332","9,801,524"
Interest Income after Provision for Loan Loss,ITUB,-,"23,608,000","45,947,000","16,359,000"
Net Income from Continuing & Discontinued Operation,ITUB,-,"29,702,000","26,760,000","18,896,000"
Normalized Income,ITUB,-,"29,702,000","26,760,000","18,896,000"
Total Money Market Investments,ITUB,-,-,"14,628,000","13,176,000"
Reconciled Depreciation,ITUB,-,"4,796,000","4,233,000","3,729,000"
Net Income from Continuing Operation Net Minority Interest,ITUB,-,"29,702,000","26,760,000","18,896,000"
Total Unusual Items Excluding Goodwill,ITUB,-,-,"-1,600,000","-7,964,000"
Total Unusual Items,ITUB,-,-,"-1,600,000","-7,964,000"
Tax Rate for Calcs,ITUB,-,0,0,0
Tax Effect of Unusual Items,ITUB,-,0,0,0
Total Revenue,PNC,"21,509,000","21,114,000","19,211,000","16,901,000"
Net Interest Income,PNC,"13,916,000","13,014,000","10,647,000","9,946,000"
Interest Income,PNC,"24,308,000","15,436,000","11,134,000","11,307,000"
Interest Income from Loans And Lease,PNC,"18,299,000","11,795,000","9,007,000","8,927,000"
Interest Income from Loans,PNC,"18,299,000","11,795,000","9,007,000","8,927,000"
Interest Income from Securities,PNC,"3,545,000","2,726,000","1,834,000","2,041,000"
Other Interest Income,PNC,"2,464,000","915,000","293,000","339,000"
Interest Expense,PNC,"10,392,000","2,422,000","487,000","1,361,000"
Interest Expense for Deposit,PNC,"6,609,000","1,267,000","126,000","643,000"
Interest Expense for Long Term Debt And Capital Securities,PNC,"3,783,000","1,155,000","361,000","718,000"
Non Interest Income,PNC,"7,593,000","8,100,000","8,564,000","6,955,000"
Fees And Commissions,PNC,"6,955,000","7,154,000","7,365,000","6,347,000"
Fees & Commission Income,PNC,"6,955,000","7,154,000","7,365,000","6,347,000"
Service Charge on Depositor Accounts,PNC,"2,810,000","3,077,000","3,529,000","3,231,000"
Trust Fees by Commissions,PNC,"1,412,000","1,444,000","1,438,000","1,203,000"
Credit Card,PNC,"2,733,000","2,633,000","2,398,000","1,913,000"
Gain Losson Saleof Assets,PNC,"19,000","-6,000","-76,000","-103,000"
Gain on Sale of Security,PNC,"19,000","-6,000","-76,000","-103,000"
Other Non Interest Income,PNC,"619,000","952,000","1,199,000","608,000"
Credit Losses Provision,PNC,"-761,000","-471,000","779,000","-3,175,000"
Non Interest Expense,PNC,"13,497,000","13,170,000","13,002,000","10,297,000"
Occupancy And Equipment,PNC,"2,393,000","2,387,000","2,351,000","2,002,000"
Net Occupancy Expense,PNC,"982,000","992,000","940,000","826,000"
Equipment,PNC,"1,411,000","1,395,000","1,411,000","1,176,000"
Selling General and Administrative,PNC,"7,778,000","7,599,000","7,460,000","5,909,000"
General & Administrative Expense,PNC,"7,428,000","7,244,000","7,141,000","5,673,000"
Salaries and Wages,PNC,"7,428,000","7,244,000","7,141,000","5,673,000"
Selling & Marketing Expense,PNC,"350,000","355,000","319,000","236,000"
Other Non Interest Expense,PNC,"3,326,000","3,184,000","3,191,000","2,386,000"
Special Income Charges,PNC,"-515,000",-,-,-
Other Special Charges,PNC,"515,000",-,-,-
Pretax Income,PNC,"6,736,000","7,473,000","6,988,000","3,429,000"
Tax Provision,PNC,"1,089,000","1,360,000","1,263,000","426,000"
Net Income Common Stockholders,PNC,"5,126,000","5,708,000","5,409,000","7,249,000"
Net Income,PNC,"5,578,000","6,041,000","5,674,000","7,517,000"
Net Income Including Non-Controlling Interests,PNC,"5,647,000","6,113,000","5,725,000","7,558,000"
Net Income Continuous Operations,PNC,"5,647,000","6,113,000","5,725,000","3,003,000"
Net Income Discontinuous Operations,PNC,-,-,-,"4,555,000"
Minority Interests,PNC,"-69,000","-72,000","-51,000","-41,000"
Preferred Stock Dividends,PNC,"417,000","301,000","233,000","229,000"
Average Dilution Earnings,PNC,-,-,-,"-2,000"
Diluted NI Available to Com Stockholders,PNC,"5,126,000","5,708,000","5,409,000","2,716,000"
Basic EPS,PNC,12.80,13.86,12.71,16.99
Diluted EPS,PNC,12.79,13.85,12.70,16.96
Basic Average Shares,PNC,"401,000","412,000","426,000","427,000"
Diluted Average Shares,PNC,"401,000","412,000","426,000","427,000"
Interest Income after Provision for Loan Loss,PNC,"13,155,000","12,543,000","11,426,000","6,771,000"
Net Income from Continuing & Discontinued Operation,PNC,"5,578,000","6,041,000","5,674,000","7,517,000"
Normalized Income,PNC,"6,009,741","6,041,000","5,674,000","2,962,000"
Reconciled Depreciation,PNC,"217,000","651,000","1,773,000","1,497,000"
Net Income from Continuing Operation Net Minority Interest,PNC,"5,578,000","6,041,000","5,674,000","2,962,000"
Total Unusual Items Excluding Goodwill,PNC,"-515,000",-,-,-
Total Unusual Items,PNC,"-515,000",-,-,-
Tax Rate for Calcs,PNC,0,0,0,0
Tax Effect of Unusual Items,PNC,"-83,259",0,0,0
Total Revenue,BNS,"31,787,000","31,509,000","30,913,000","31,094,000"
Net Interest Income,BNS,"18,287,000","18,115,000","16,961,000","17,320,000"
Interest Income,BNS,"56,824,000","33,558,000","24,986,000","29,712,000"
Interest Income from Loans And Lease,BNS,"45,043,000","29,390,000","23,159,000","26,977,000"
Interest Income from Loans,BNS,"45,043,000","29,390,000","23,159,000","26,977,000"
Interest Income from Securities,BNS,"6,833,000","2,877,000","1,467,000","2,035,000"
Interest Income from Deposits,BNS,"3,470,000","832,000","182,000","414,000"
Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,BNS,"1,478,000","459,000","178,000","286,000"
Interest Expense,BNS,"38,537,000","15,443,000","8,025,000","12,392,000"
Interest Expense for Deposit,BNS,"35,650,000","12,794,000","6,465,000","10,731,000"
Interest Expense for Long Term Debt And Capital Securities,BNS,"471,000","270,000","180,000","240,000"
Other Interest Expense,BNS,"2,416,000","2,379,000","1,380,000","1,421,000"
Non Interest Income,BNS,"13,500,000","13,394,000","13,952,000","13,774,000"
Total Premiums Earned,BNS,"482,000","433,000","398,000","497,000"
Fees And Commissions,BNS,"10,774,000","10,117,000","9,723,000","8,866,000"
Fees & Commission Income,BNS,"10,774,000","10,117,000","9,723,000","8,866,000"
Service Charge on Depositor Accounts,BNS,"4,651,000","4,295,000","3,870,000","3,596,000"
Trust Fees by Commissions,BNS,"3,156,000","3,268,000","3,388,000","2,891,000"
Securities Activities,BNS,"1,117,000","1,125,000","1,039,000","902,000"
Credit Card,BNS,"778,000","779,000","749,000","789,000"
Other Customer Services,BNS,"1,072,000","650,000","677,000","688,000"
Investment Banking Profit,BNS,"554,000","543,000","724,000","690,000"
Trading Gain Loss,BNS,"1,580,000","1,791,000","2,033,000","2,411,000"
Foreign Exchange Trading Gains,BNS,-,"878,000","787,000","708,000"
Gain Losson Saleof Assets,BNS,"129,000","74,000","419,000","607,000"
Gain on Sale of Security,BNS,"129,000","74,000","419,000","607,000"
Other Non Interest Income,BNS,"-19,000","436,000","655,000","703,000"
Credit Losses Provision,BNS,"-3,422,000","-1,382,000","-1,808,000","-6,084,000"
Non Interest Expense,BNS,"18,344,000","16,884,000","16,430,000","17,110,000"
Occupancy And Equipment,BNS,"2,659,000","2,424,000","2,351,000","2,408,000"
Professional Expense And Contract Services Expense,BNS,"780,000","826,000","789,000","753,000"
Selling General and Administrative,BNS,"10,172,000","9,316,000","8,945,000","9,069,000"
General & Administrative Expense,BNS,"9,596,000","8,836,000","8,541,000","8,624,000"
Salaries and Wages,BNS,"9,596,000","8,836,000","8,541,000","8,624,000"
Other G and A,BNS,-,-,-,"418,000"
Selling & Marketing Expense,BNS,"576,000","480,000","404,000","445,000"
Depreciation Amortization Depletion,BNS,"1,820,000","1,531,000","1,511,000","1,546,000"
Depreciation & amortization,BNS,"1,820,000","1,531,000","1,511,000","1,546,000"
Other Non Interest Expense,BNS,"2,913,000","2,787,000","2,834,000","3,334,000"
Income from Associates & Other Participating Interests,BNS,"153,000","268,000","339,000","242,000"
Special Income Charges,BNS,"-420,000","-579,000","-188,000","254,000"
Gain on Sale of Business,BNS,"367,000","-361,000",0,"298,000"
Restructuring & Mergers Acquisition,BNS,"441,000","85,000","188,000","283,000"
Impairment of Capital Assets,BNS,"161,000",0,-,"44,000"
Write Off,BNS,"185,000",0,-,-
Other Special Charges,BNS,-,"133,000",-,-
Pretax Income,BNS,"9,754,000","12,932,000","12,826,000","8,396,000"
Tax Provision,BNS,"2,226,000","2,758,000","2,871,000","1,543,000"
Net Income Common Stockholders,BNS,"6,991,000","9,656,000","9,391,000","6,582,000"
Net Income,BNS,"7,410,000","9,916,000","9,624,000","6,778,000"
Net Income Including Non-Controlling Interests,BNS,"7,528,000","10,174,000","9,955,000","6,853,000"
Net Income Continuous Operations,BNS,"7,528,000","10,174,000","9,955,000","6,853,000"
Minority Interests,BNS,"-118,000","-258,000","-331,000","-75,000"
Preferred Stock Dividends,BNS,"419,000","260,000","233,000","196,000"
Average Dilution Earnings,BNS,"-36,000","36,000","43,000","6,000"
Diluted NI Available to Com Stockholders,BNS,"6,955,000","9,692,000","9,434,000","6,588,000"
Basic EPS,BNS,5.84,8.05,7.74,5.43
Diluted EPS,BNS,5.78,8.02,7.70,5.30
Basic Average Shares,BNS,"1,197,000","1,199,000","1,214,000","1,212,000"
Diluted Average Shares,BNS,"1,204,000","1,208,000","1,225,000","1,243,000"
Interest Income after Provision for Loan Loss,BNS,"14,865,000","16,733,000","15,153,000","11,236,000"
Net Income from Continuing & Discontinued Operation,BNS,"7,410,000","9,916,000","9,624,000","6,778,000"
Normalized Income,BNS,"7,734,240","10,371,673","9,769,888","6,570,736"
Total Money Market Investments,BNS,"4,948,000","1,291,000","360,000","700,000"
Reconciled Depreciation,BNS,"1,820,000","1,531,000","1,511,000","1,546,000"
Net Income from Continuing Operation Net Minority Interest,BNS,"7,410,000","9,916,000","9,624,000","6,778,000"
Total Unusual Items Excluding Goodwill,BNS,"-420,000","-579,000","-188,000","254,000"
Total Unusual Items,BNS,"-420,000","-579,000","-188,000","254,000"
Tax Rate for Calcs,BNS,0,0,0,0
Tax Effect of Unusual Items,BNS,"-95,760","-123,327","-42,112","46,736"
Total Revenue,NU,-,"2,971,196","1,145,204","359,917"
Net Interest Income,NU,-,"2,007,310","679,402","167,846"
Interest Income,NU,-,"3,555,213","1,046,746","382,922"
Interest Income from Loans And Lease,NU,-,"1,947,071","650,532","256,282"
Interest Income from Loans,NU,-,"1,947,071","650,532","256,282"
Interest Income from Securities,NU,-,"1,608,142","396,214","126,640"
Other Interest Income,NU,-,"549,740","83,438","37,982"
Interest Expense,NU,-,"1,547,903","367,344","215,076"
Interest Expense for Deposit,NU,-,"1,407,898","317,420","87,325"
Other Interest Expense,NU,-,"140,005","49,924","127,751"
Non Interest Income,NU,-,"963,886","465,802","192,071"
Fees And Commissions,NU,-,"963,886","465,802","192,071"
Fees & Commission Income,NU,-,"1,237,018","651,277","354,211"
Service Charge on Depositor Accounts,NU,-,"994,842","519,883","269,614"
Other Customer Services,NU,-,"242,176","131,394","84,597"
Fees & Commission Expense,NU,-,"273,132","185,475","162,140"
Credit Losses Provision,NU,-,"-1,404,911","-480,643","-169,485"
Non Interest Expense,NU,-,"1,724,922","830,628","374,075"
Selling General and Administrative,NU,-,"1,428,331","659,859","264,537"
General & Administrative Expense,NU,-,"1,275,334","580,285","245,111"
Salaries and Wages,NU,-,"1,015,848","451,763","177,143"
Other G and A,NU,-,"259,486","128,522","67,968"
Selling & Marketing Expense,NU,-,"152,997","79,574","19,426"
Depreciation Amortization Depletion,NU,-,"35,581","17,339","7,430"
Depreciation & amortization,NU,-,"35,581","17,339","7,430"
Other Non Interest Expense,NU,-,"261,010","153,430","102,108"
Other Non Operating Income Expenses,NU,-,"-150,264","-4,097","-9,535"
Pretax Income,NU,-,"-308,901","-170,164","-193,178"
Tax Provision,NU,-,"55,733","-4,830","-21,687"
Net Income Common Stockholders,NU,-,"-364,578","-164,993","-171,491"
Net Income,NU,-,"-364,578","-164,993","-171,491"
Net Income Including Non-Controlling Interests,NU,-,"-364,634","-165,334","-171,491"
Net Income Continuous Operations,NU,-,"-364,634","-165,334","-171,491"
Minority Interests,NU,-,56,341,0
Diluted NI Available to Com Stockholders,NU,-,"-364,578","-164,993","-171,491"
Basic EPS,NU,0.22,-0.08,-0.04,-0.04
Diluted EPS,NU,0.21,-0.08,-0.04,-0.04
Basic Average Shares,NU,"4,738,841","4,676,977","4,609,989","4,608,684"
Diluted Average Shares,NU,"4,857,579","4,676,977","4,609,989","4,608,684"
Interest Income after Provision for Loan Loss,NU,-,"602,399","198,759","-1,639"
Net Income from Continuing & Discontinued Operation,NU,-,"-364,578","-164,993","-171,491"
Normalized Income,NU,-,"-364,578","-164,993","-171,491"
Reconciled Depreciation,NU,-,"35,581","17,339","7,428"
Net Income from Continuing Operation Net Minority Interest,NU,-,"-364,578","-164,993","-171,491"
Tax Rate for Calcs,NU,-,0,0,0
Tax Effect of Unusual Items,NU,-,0,0,0
Total Revenue,ING,"22,405,000","18,590,000","18,285,000","17,839,000"
Net Interest Income,ING,"15,976,000","13,756,000","13,615,000","13,604,000"
Interest Income,ING,"52,228,000","28,471,000","21,113,000","22,697,000"
Interest Income from Loans And Lease,ING,"31,830,000","18,537,000","13,977,000","15,763,000"
Interest Income from Loans,ING,"31,830,000","18,537,000","13,977,000","15,763,000"
Interest Income from Securities,ING,"20,208,000","8,947,000","5,635,000","6,224,000"
Other Interest Income,ING,"190,000","987,000","1,501,000","710,000"
Interest Expense,ING,"36,252,000","14,714,000","7,498,000","9,094,000"
Interest Expense for Deposit,ING,"11,955,000","4,154,000","1,471,000","1,594,000"
Interest Expense for Long Term Debt And Capital Securities,ING,"4,750,000","2,385,000","1,803,000","2,362,000"
Other Interest Expense,ING,"19,547,000","8,175,000","4,224,000","5,138,000"
Non Interest Income,ING,"6,429,000","4,834,000","4,670,000","4,235,000"
Fees And Commissions,ING,"3,595,000","3,587,000","3,517,000","3,011,000"
Fees & Commission Income,ING,"5,109,000","5,086,000","5,004,000","4,514,000"
Service Charge on Depositor Accounts,ING,"3,652,000","3,622,000","3,330,000","3,003,000"
Trust Fees by Commissions,ING,"625,000","600,000","617,000","525,000"
Securities Activities,ING,"584,000","632,000","853,000","700,000"
Other Customer Services,ING,"248,000","232,000","204,000","286,000"
Fees & Commission Expense,ING,"1,514,000","1,499,000","1,487,000","1,503,000"
Dividend Income,ING,"105,000","149,000","122,000","107,000"
Trading Gain Loss,ING,"1,146,000","-285,000","871,000","-428,000"
Foreign Exchange Trading Gains,ING,"1,230,000","38,000","567,000","422,000"
Gain Losson Saleof Assets,ING,"281,000","1,468,000","-546,000","1,072,000"
Gain on Sale of Security,ING,"281,000","1,469,000","-546,000","1,067,000"
Gain on Saleof Loans,ING,-,-,"1,000","4,000"
Gain on Saleof Investment Property,ING,-,"-1,000",0,"1,000"
Other Non Interest Income,ING,"72,000","-123,000","139,000","51,000"
Credit Losses Provision,ING,"-495,000","-1,861,000","-491,000","-2,648,000"
Non Interest Expense,ING,"11,353,000","10,949,000","10,856,000","10,446,000"
Professional Expense And Contract Services Expense,ING,"335,000","341,000","335,000","447,000"
Selling General and Administrative,ING,"7,703,000","7,181,000","6,962,000","6,880,000"
General & Administrative Expense,ING,"7,334,000","6,850,000","6,657,000","6,545,000"
Salaries and Wages,ING,"6,725,000","6,152,000","5,941,000","5,812,000"
Insurance & Claims,ING,"320,000","425,000","435,000","413,000"
Other G and A,ING,"289,000","273,000","281,000","320,000"
Selling & Marketing Expense,ING,"369,000","331,000","305,000","335,000"
Depreciation Amortization Depletion,ING,"674,000","711,000","834,000","829,000"
Depreciation & amortization,ING,"674,000","711,000","834,000","829,000"
Depreciation,ING,"461,000","485,000","573,000","578,000"
Amortization,ING,"213,000","226,000","261,000","251,000"
Amortization of Intangibles,ING,"213,000","226,000","261,000","251,000"
Other Non Interest Expense,ING,"2,641,000","2,716,000","2,725,000","2,290,000"
Income from Associates & Other Participating Interests,ING,"149,000","92,000","141,000","66,000"
Special Income Charges,ING,"-216,000","-368,000","-295,000","-1,003,000"
Gain on Sale of Business,ING,0,"73,000","-29,000","-3,000"
Restructuring & Mergers Acquisition,ING,"173,000","170,000","214,000","149,000"
Impairment of Capital Assets,ING,"38,000","79,000","121,000","558,000"
Write Off,ING,"5,000","192,000","3,000","235,000"
Other Special Charges,ING,-,-,"-72,000","58,000"
Pretax Income,ING,"10,492,000","5,502,000","6,782,000","3,809,000"
Tax Provision,ING,"2,970,000","1,725,000","1,877,000","1,246,000"
Net Income Common Stockholders,ING,"7,287,000","3,674,000","4,776,000","2,485,000"
Net Income,ING,"7,287,000","3,674,000","4,776,000","2,485,000"
Net Income Including Non-Controlling Interests,ING,"7,521,000","3,777,000","4,905,000","2,563,000"
Net Income Continuous Operations,ING,"7,522,000","3,777,000","4,905,000","2,563,000"
Minority Interests,ING,"-235,000","-102,000","-128,000","-78,000"
Diluted NI Available to Com Stockholders,ING,"7,287,000","3,674,000","4,776,000","2,485,000"
Basic EPS,ING,2.05,1.02,1.23,0.64
Diluted EPS,ING,2.04,1.01,1.23,0.64
Basic Average Shares,ING,"3,562,900","3,619,100","3,888,500","3,898,900"
Diluted Average Shares,ING,"3,565,300","3,624,300","3,890,700","3,901,100"
Interest Income after Provision for Loan Loss,ING,"15,481,000","11,895,000","13,124,000","10,956,000"
Net Income from Continuing & Discontinued Operation,ING,"7,287,000","3,674,000","4,776,000","2,485,000"
Normalized Income,ING,"7,441,872","3,927,134","4,989,285","3,159,346"
Reconciled Depreciation,ING,"674,000","711,000","834,000","829,000"
Net Income from Continuing Operation Net Minority Interest,ING,"7,287,000","3,674,000","4,776,000","2,485,000"
Total Unusual Items Excluding Goodwill,ING,"-216,000","-369,000","-295,000","-1,002,000"
Total Unusual Items,ING,"-216,000","-369,000","-295,000","-1,002,000"
Tax Rate for Calcs,ING,0,0,0,0
Tax Effect of Unusual Items,ING,"-61,128","-115,866","-81,715","-327,654"
Total Revenue,TFC,"23,390,000","23,035,000","22,296,000","22,705,000"
Net Interest Income,TFC,"14,600,000","14,316,000","13,006,000","13,826,000"
Interest Income,TFC,"24,456,000","16,637,000","13,774,000","15,548,000"
Interest Income from Loans And Lease,TFC,"19,518,000","13,252,000","11,481,000","13,485,000"
Interest Income from Securities,TFC,"3,066,000","2,763,000","2,090,000","1,739,000"
Other Interest Income,TFC,"1,872,000","622,000","203,000","324,000"
Interest Expense,TFC,"9,856,000","2,321,000","768,000","1,722,000"
Interest Expense for Deposit,TFC,"6,355,000","1,145,000","148,000","785,000"
Interest Expense for Short Term Debt,TFC,"1,286,000","385,000","47,000","137,000"
Interest Expense for Long Term Debt And Capital Securities,TFC,"2,215,000","791,000","573,000","800,000"
Non Interest Income,TFC,"8,790,000","8,719,000","9,290,000","8,879,000"
Total Premiums Earned,TFC,"3,354,000","3,043,000","2,627,000","2,193,000"
Fees And Commissions,TFC,"4,047,000","4,143,000","4,409,000","4,558,000"
Fees & Commission Income,TFC,"4,047,000","4,143,000","4,409,000","4,558,000"
Service Charge on Depositor Accounts,TFC,"1,753,000","1,861,000","2,143,000","2,520,000"
Trust Fees by Commissions,TFC,"1,358,000","1,338,000","1,392,000","1,277,000"
Credit Card,TFC,"936,000","944,000","874,000","761,000"
Fees & Commission Expense,TFC,-,-,-,"242,000"
Investment Banking Profit,TFC,"822,000","995,000","1,441,000","1,010,000"
Gain Losson Saleof Assets,TFC,0,"-71,000",0,"402,000"
Gain on Sale of Security,TFC,0,"-71,000",0,"402,000"
Other Non Interest Income,TFC,"567,000","609,000","813,000","716,000"
Credit Losses Provision,TFC,"-2,109,000","-777,000","813,000","-2,335,000"
Non Interest Expense,TFC,"14,638,000","13,650,000","14,294,000","14,037,000"
Occupancy And Equipment,TFC,"1,124,000","1,222,000","1,277,000","1,388,000"
Net Occupancy Expense,TFC,"715,000","744,000","764,000","904,000"
Equipment,TFC,"409,000","478,000","513,000","484,000"
Professional Expense And Contract Services Expense,TFC,"1,341,000","1,411,000","1,442,000","1,252,000"
Selling General and Administrative,TFC,"8,951,000","8,819,000","8,926,000","8,419,000"
General & Administrative Expense,TFC,"8,654,000","8,467,000","8,632,000","8,146,000"
Salaries and Wages,TFC,"8,654,000","8,467,000","8,632,000","8,146,000"
Other G and A,TFC,-,-,-,"862,000"
Selling & Marketing Expense,TFC,"297,000","352,000","294,000","273,000"
Depreciation Amortization Depletion,TFC,"702,000","767,000","764,000","943,000"
Depreciation & amortization,TFC,"702,000","767,000","764,000","943,000"
Depreciation,TFC,"175,000","184,000","190,000","258,000"
Amortization,TFC,"527,000","583,000","574,000","685,000"
Amortization of Intangibles,TFC,"527,000","583,000","574,000","685,000"
Other Non Interest Expense,TFC,"2,520,000","1,431,000","1,885,000","2,035,000"
Special Income Charges,TFC,"-6,828,000","-939,000","-822,000","-860,000"
Gain on Sale of Business,TFC,-,-,"37,000",-
Restructuring & Mergers Acquisition,TFC,"750,000","978,000","822,000","860,000"
Impairment of Capital Assets,TFC,"6,078,000",0,0,-
Loss on Extinguishment of Debt,TFC,-,"-39,000","-4,000","235,000"
Other Special Charges,TFC,-,-,-,-
Pretax Income,TFC,"-185,000","7,669,000","7,993,000","5,473,000"
Tax Provision,TFC,"862,000","1,402,000","1,556,000","981,000"
Net Income Common Stockholders,TFC,"-1,452,000","5,927,000","6,033,000","4,184,000"
Net Income,TFC,"-1,091,000","6,260,000","6,440,000","4,482,000"
Net Income Including Non-Controlling Interests,TFC,"-1,047,000","6,267,000","6,437,000","4,492,000"
Net Income Continuous Operations,TFC,"-1,047,000","6,267,000","6,437,000","4,492,000"
Minority Interests,TFC,"-44,000","-7,000","3,000","-10,000"
Preferred Stock Dividends,TFC,"361,000","333,000","407,000","298,000"
Diluted NI Available to Com Stockholders,TFC,"-1,452,000","5,927,000","6,033,000","4,184,000"
Basic EPS,TFC,-1.09,4.46,4.51,3.11
Diluted EPS,TFC,-1.09,4.43,4.47,3.08
Basic Average Shares,TFC,"1,331,963","1,328,120","1,337,144","1,347,080"
Diluted Average Shares,TFC,"1,331,963","1,338,462","1,349,378","1,358,289"
Interest Income after Provision for Loan Loss,TFC,"12,491,000","13,539,000","13,819,000","11,491,000"
Net Income from Continuing & Discontinued Operation,TFC,"-1,091,000","6,260,000","6,440,000","4,482,000"
