Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Net Income,HSBC,"23,533,000","15,559,000","13,917,000","5,229,000"
Net Income Including Non-Controlling Interests,HSBC,"24,559,000","16,249,000","14,693,000","6,099,000"
Net Income Continuous Operations,HSBC,"24,559,000","16,249,000","14,693,000","6,099,000"
Minority Interests,HSBC,"-1,026,000","-690,000","-776,000","-870,000"
Preferred Stock Dividends,HSBC,-,-,"7,000","90,000"
Diluted NI Available to Com Stockholders,HSBC,"22,432,000","14,346,000","12,607,000","3,898,000"
Basic EPS,HSBC,5.75,3.60,3.10,0.95
Diluted EPS,HSBC,5.70,3.60,3.10,0.95
Basic Average Shares,HSBC,"3,895,600","3,969,800","4,039,400","4,033,800"
Diluted Average Shares,HSBC,"3,920,000","3,997,200","4,060,400","4,048,400"
Net Income from Continuing & Discontinued Operation,HSBC,"23,533,000","15,559,000","13,917,000","5,229,000"
Normalized Income,HSBC,"23,651,114","23,503,208","16,993,508","7,370,985"
Reconciled Depreciation,HSBC,"3,466,000","3,850,000","4,286,000","5,241,000"
Net Income from Continuing Operation Net Minority Interest,HSBC,"23,533,000","15,559,000","13,917,000","5,229,000"
Total Unusual Items Excluding Goodwill,HSBC,"-146,000","-8,336,000","-3,204,000","-3,023,000"
Total Unusual Items,HSBC,"-146,000","-8,336,000","-3,204,000","-3,023,000"
Tax Rate for Calcs,HSBC,0,0,0,0
Tax Effect of Unusual Items,HSBC,"-27,886","-391,792","-714,492","-922,015"
Total Revenue,MS,"50,667,000","50,210,000","56,414,000","45,828,000"
Net Interest Income,MS,"8,230,000","9,327,000","8,045,000","6,313,000"
Interest Income,MS,"50,281,000","21,595,000","9,411,000","10,162,000"
Interest Income from Loans And Lease,MS,"12,424,000","6,988,000","4,209,000","4,142,000"
Interest Income from Loans,MS,"12,424,000","6,988,000","4,209,000","4,142,000"
Interest Income from Securities,MS,"8,480,000","5,550,000","4,797,000","4,699,000"
Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,MS,"12,953,000","3,208,000","-1,198,000","-194,000"
Other Interest Income,MS,"16,424,000","5,849,000","1,603,000","1,515,000"
Interest Expense,MS,"42,051,000","12,268,000","1,366,000","3,849,000"
Interest Expense for Deposit,MS,"8,216,000","1,825,000","409,000","953,000"
Interest Expense for Long Term Debt And Capital Securities,MS,"11,437,000","5,054,000","2,725,000","3,250,000"
Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,MS,"7,521,000","2,263,000","494,000","983,000"
Other Interest Expense,MS,"14,877,000","3,126,000","-2,262,000","-1,337,000"
Non Interest Income,MS,"42,437,000","40,883,000","48,369,000","39,515,000"
Fees And Commissions,MS,"20,678,000","21,058,000","22,147,000","16,194,000"
Fees & Commission Income,MS,"24,154,000","24,516,000","25,488,000","19,123,000"
Trust Fees by Commissions,MS,"19,617,000","19,578,000","19,967,000","14,272,000"
Securities Activities,MS,-,-,-,"-2,929,000"
Other Customer Services,MS,"4,537,000","4,938,000","5,521,000","4,851,000"
Fees & Commission Expense,MS,"3,476,000","3,458,000","3,341,000","2,929,000"
Investment Banking Profit,MS,"4,948,000","5,599,000","10,994,000","7,674,000"
Trading Gain Loss,MS,"14,209,000","12,343,000","11,802,000","13,081,000"
Foreign Exchange Trading Gains,MS,"1,054,000","1,585,000","1,008,000","902,000"
Gain Losson Saleof Assets,MS,"573,000","15,000","1,376,000","986,000"
Gain on Sale of Security,MS,"573,000","15,000","1,376,000","986,000"
Other Non Interest Income,MS,"975,000","283,000","1,042,000","678,000"
