breakdown,bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
"Restructuring & Mergers Acquisition",HSBC,-1727000.0,3129000.0,2143000.0,2078000.0
"Impairment of Capital Assets",HSBC,78340455.8522935,-4000.0,51505248.92342425,1049000.0
"Write Off",HSBC,2850000.0,2316000.0,587000.0,0.0
"Other Special Charges",HSBC,-977000.0,2891000.0,-113000.0,-145000.0
"Pretax Income",HSBC,30348000.0,17058000.0,18906000.0,8777000.0
"Tax Provision",HSBC,5789000.0,809000.0,4213000.0,2678000.0
"Net Income Common Stockholders",HSBC,22432000.0,14346000.0,12607000.0,3898000.0
"Net Income",HSBC,23533000.0,15559000.0,13917000.0,5229000.0
"Net Income Including Non-Controlling Interests",HSBC,24559000.0,16249000.0,14693000.0,6099000.0
"Net Income Continuous Operations",HSBC,24559000.0,16249000.0,14693000.0,6099000.0
"Minority Interests",HSBC,-1026000.0,-690000.0,-776000.0,-870000.0
"Preferred Stock Dividends",HSBC,78340455.8522935,59370784.164795734,7000.0,90000.0
"Diluted NI Available to Com Stockholders",HSBC,22432000.0,14346000.0,12607000.0,3898000.0
"Basic EPS",HSBC,5.75,3.6,3.1,0.95
"Diluted EPS",HSBC,5.7,3.6,3.1,0.95
"Basic Average Shares",HSBC,3895600.0,3969800.0,4039400.0,4033800.0
"Diluted Average Shares",HSBC,3920000.0,3997200.0,4060400.0,4048400.0
"Net Income from Continuing & Discontinued Operation",HSBC,23533000.0,15559000.0,13917000.0,5229000.0
"Normalized Income",HSBC,23651114.0,23503208.0,16993508.0,7370985.0
"Reconciled Depreciation",HSBC,3466000.0,3850000.0,4286000.0,5241000.0
"Net Income from Continuing Operation Net Minority Interest",HSBC,23533000.0,15559000.0,13917000.0,5229000.0
"Total Unusual Items Excluding Goodwill",HSBC,-146000.0,-8336000.0,-3204000.0,-3023000.0
"Total Unusual Items",HSBC,-146000.0,-8336000.0,-3204000.0,-3023000.0
"Tax Rate for Calcs",HSBC,0.0,0.0,0.0,0.0
"Tax Effect of Unusual Items",HSBC,-27886.0,-391792.0,-714492.0,-922015.0
"Total Revenue",MS,50667000.0,50210000.0,56414000.0,45828000.0
"Net Interest Income",MS,8230000.0,9327000.0,8045000.0,6313000.0
"Interest Income",MS,50281000.0,21595000.0,9411000.0,10162000.0
"Interest Income from Loans And Lease",MS,12424000.0,6988000.0,4209000.0,4142000.0
"Interest Income from Loans",MS,12424000.0,6988000.0,4209000.0,4142000.0
"Interest Income from Securities",MS,8480000.0,5550000.0,4797000.0,4699000.0
"Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell",MS,12953000.0,3208000.0,-1198000.0,-194000.0
"Other Interest Income",MS,16424000.0,5849000.0,1603000.0,1515000.0
"Interest Expense",MS,42051000.0,12268000.0,1366000.0,3849000.0
"Interest Expense for Deposit",MS,8216000.0,1825000.0,409000.0,953000.0
"Interest Expense for Long Term Debt And Capital Securities",MS,11437000.0,5054000.0,2725000.0,3250000.0
"Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell",MS,7521000.0,2263000.0,494000.0,983000.0
"Other Interest Expense",MS,14877000.0,3126000.0,-2262000.0,-1337000.0
"Non Interest Income",MS,42437000.0,40883000.0,48369000.0,39515000.0
"Fees And Commissions",MS,20678000.0,21058000.0,22147000.0,16194000.0
"Fees & Commission Income",MS,24154000.0,24516000.0,25488000.0,19123000.0
"Trust Fees by Commissions",MS,19617000.0,19578000.0,19967000.0,14272000.0
"Securities Activities",MS,78340455.8522935,59370784.164795734,51505248.92342425,-2929000.0
"Other Customer Services",MS,4537000.0,4938000.0,5521000.0,4851000.0
