breakdown,bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
"Change in Federal Funds And Securities Sold for Repurchase",JPM,13801000.0,8455000.0,-20799000.0,31528000.0
"Net Issuance Payments of Debt",JPM,8603000.0,23902000.0,35250000.0,-21931000.0
"Net Long Term Debt Issuance",JPM,10537000.0,32886000.0,27477000.0,-26369000.0
"Long Term Debt Issuance",JPM,75417000.0,78442000.0,82409000.0,78686000.0
"Long Term Debt Payments",JPM,-64880000.0,-45556000.0,-54932000.0,-105055000.0
"Net Short Term Debt Issuance",JPM,-1934000.0,-8984000.0,7773000.0,4438000.0
"Net Common Stock Issuance",JPM,-9824000.0,-3162000.0,-18408000.0,-6517000.0
"Common Stock Payments",JPM,-9824000.0,-3162000.0,-18408000.0,-6517000.0
"Net Preferred Stock Issuance",JPM,0.0,-7434000.0,4775000.0,3070000.0
"Preferred Stock Issuance",JPM,0.0,0.0,7350000.0,4500000.0
"Preferred Stock Payments",JPM,0.0,-7434000.0,-2575000.0,-1430000.0
"Cash Dividends Paid",JPM,-13463000.0,-13562000.0,-12858000.0,-12690000.0
"Net Other Financing Charges",JPM,7508000.0,2439000.0,-5731000.0,420000.0
"End Cash Position",JPM,624151000.0,567234000.0,740834000.0,527609000.0
"Changes in Cash",JPM,55046000.0,-156957000.0,224733000.0,254823000.0
"Effect of Exchange Rate Changes",JPM,1871000.0,-16643000.0,-11508000.0,9155000.0
"Beginning Cash Position",JPM,567234000.0,740834000.0,527609000.0,263631000.0
"Income Tax Paid Supplemental Data",JPM,9908000.0,4355000.0,18737000.0,8140000.0
"Interest Paid Supplemental Data",JPM,77114000.0,23143000.0,5142000.0,13077000.0
"Issuance of Capital Stock",JPM,0.0,0.0,7350000.0,4500000.0
"Issuance of Debt",JPM,75417000.0,78442000.0,82409000.0,78686000.0
"Repayment of Debt",JPM,-64880000.0,-45556000.0,-54932000.0,-105055000.0
"Repurchase of Capital Stock",JPM,-9824000.0,-10596000.0,-20983000.0,-7947000.0
"Free Cash Flow",JPM,12974000.0,107119000.0,78084000.0,-79910000.0
"Operating Cash Flow",HSBC,39111000.0,19355000.0,104312000.0,182220000.0
"Investing Cash Flow",HSBC,-62912000.0,-27401000.0,27536000.0,-22430000.0
"Financing Cash Flow",HSBC,-17558000.0,-6286000.0,-10794000.0,-4643000.0
"End Cash Position",HSBC,490933000.0,521671000.0,574032000.0,468323000.0
"Changes in Cash",HSBC,-41359000.0,-14332000.0,121054000.0,155147000.0
"Effect of Exchange Rate Changes",HSBC,10621000.0,-38029000.0,-15345000.0,19434000.0
"Beginning Cash Position",HSBC,521671000.0,574032000.0,468323000.0,293742000.0
"Capital Expenditure",HSBC,-3695000.0,-4409000.0,-3565000.0,-3510000.0
"Issuance of Capital Stock",HSBC,1996000.0,0.0,1996000.0,1497000.0
"Issuance of Debt",HSBC,5237000.0,7300000.0,0.0,0.0
"Repayment of Debt",HSBC,-2147000.0,-1777000.0,-864000.0,-3538000.0
"Repurchase of Capital Stock",HSBC,-10429000.0,-4642000.0,-5543000.0,-579000.0
"Free Cash Flow",HSBC,35416000.0,14946000.0,100747000.0,178710000.0
"Operating Cash Flow",MS,-33536000.0,-6397000.0,33971000.0,-25231000.0
"Cash Flow from Continuing Operating Activities",MS,-33536000.0,-6397000.0,33971000.0,-25231000.0
"Net Income from Continuing Operations",MS,9230000.0,11179000.0,15120000.0,11179000.0
"Depreciation Amortization Depletion",MS,4256000.0,3998000.0,4216000.0,3769000.0
"Depreciation & amortization",MS,4256000.0,3998000.0,4216000.0,3769000.0
"Deferred Tax",MS,-463000.0,-849000.0,4000.0,-250000.0
"Deferred Income Tax",MS,-463000.0,-849000.0,4000.0,-250000.0
"Other non-cash items",MS,308000.0,618000.0,-147000.0,274000.0
"Stock based compensation",MS,1709000.0,1875000.0,2085000.0,1312000.0
"Provision for Loan Lease And Other Losses",MS,532000.0,280000.0,4000.0,761000.0
"Change in working capital",MS,-49108000.0,-23498000.0,12689000.0,-42276000.0
"Change in Receivables",MS,602000.0,14664000.0,774000.0,-29774000.0
"Changes in Account Receivables",MS,602000.0,14664000.0,774000.0,-29774000.0
"Change in Payables And Accrued Expense",MS,-3629000.0,-4897000.0,7758000.0,10187000.0
"Change in Payable",MS,-3629000.0,-4897000.0,7758000.0,10187000.0
"Change in Account Payable",MS,-3629000.0,-4897000.0,7758000.0,10187000.0
"Change in Loans",MS,3284000.0,6438000.0,7836000.0,-31623000.0
"Change in Other Working Capital",MS,-49365000.0,-39703000.0,-3679000.0,8934000.0
"Investing Cash Flow",MS,-3084000.0,-11632000.0,-49897000.0,-37898000.0
"Cash Flow from Continuing Investing Activities",MS,-3084000.0,-11632000.0,-49897000.0,-37898000.0
"Net Investment Purchase And Sale",MS,5310000.0,15445000.0,-8003000.0,-21510000.0
"Purchase of Investment",MS,-23078000.0,-29833000.0,-69571000.0,-59777000.0
"Sale of Investment",MS,28388000.0,45278000.0,61568000.0,38267000.0
"Net Proceeds Payment for Loan",MS,-4059000.0,-23652000.0,-36106000.0,-17949000.0
"Net PPE Purchase And Sale",MS,-3412000.0,-3078000.0,-2308000.0,-1444000.0
"Purchase of PPE",MS,12714959.061014263,-3078000.0,-2308000.0,-1444000.0
"Net Business Purchase And Sale",MS,0.0,0.0,-2648000.0,3807000.0
"Purchase of Business",MS,0.0,0.0,-2648000.0,0.0
"Sale of Business",MS,12714959.061014263,0.0,0.0,3807000.0
"Net Other Investing Changes",MS,-923000.0,-347000.0,-832000.0,-802000.0
"Financing Cash Flow",MS,-2726000.0,22714000.0,41547000.0,83784000.0
